"function_id";"function_path";"function_name";"error_count"
"6218";"arch/x86/xen/spinlock.c";"xen_init_spinlocks";"1"
"6215";"arch/x86/xen/spinlock.c";"xen_uninit_lock_cpu";"1"
"7921";"arch/x86/xen/time.c";"xen_init_time_ops";"1"
"6151";"arch/x86/xen/time.c";"xen_pvclock_gtod_notify";"1"
"851";"block/bfq-cgroup.c";"bfq_bic_update_cgroup";"1"
"2274";"block/bfq-cgroup.c";"bfq_io_set_weight_legacy";"1"
"6728";"block/bio-integrity.c";"__bio_integrity_endio";"2"
"6081";"block/bio-integrity.c";"bio_integrity_alloc";"1"
"6082";"block/bio-integrity.c";"bio_integrity_enabled";"1"
"6083";"block/bio-integrity.c";"bio_integrity_free";"1"
"3758";"block/blk-cgroup.c";"blkcg_activate_policy";"1"
"9656";"block/blk-core.c";"blk_alloc_queue_node";"1"
"5942";"block/blk-core.c";"blk_queue_enter";"2"
"5943";"block/blk-core.c";"generic_make_request";"1"
"4912";"block/blk-core.c";"rq_flush_dcache_pages";"2"
"6085";"block/blk-integrity.c";"blk_rq_count_integrity_sg";"1"
"3625";"block/blk-mq-debugfs.c";"blk_mq_debugfs_rq_show";"2"
"3624";"block/blk-mq-debugfs.c";"hctx_stats_show";"1"
"6520";"block/blk-mq-pci.c";"blk_mq_pci_map_queues";"1"
"9657";"block/blk-mq.c";"blk_mq_freeze_queue_wait";"1"
"9658";"block/blk-mq.c";"blk_mq_queue_enter";"1"
"9659";"block/blk-mq.c";"blk_mq_usage_counter_release";"1"
"7805";"block/bounce.c";"init_emergency_pool";"1"
"2275";"block/cfq-iosched.c";"__cfq_set_weight";"1"
"7958";"block/genhd.c";"__alloc_disk_node";"1"
"3183";"block/ioctl.c";"blk_ioctl_zeroout";"1"
"974";"crypto/af_alg.c";"af_alg_accept";"1"
"941";"crypto/af_alg.c";"af_alg_release_parent";"2"
"7303";"crypto/algif_aead.c";"aead_async_cb";"1"
"2857";"crypto/algif_akcipher.c";"asym_key_decrypt";"2"
"2858";"crypto/algif_akcipher.c";"asym_key_encrypt";"2"
"2859";"crypto/algif_akcipher.c";"asym_key_sign";"2"
"2860";"crypto/algif_akcipher.c";"asym_key_verify";"2"
"945";"crypto/algif_hash.c";"hash_accept_parent";"1"
"7180";"crypto/algif_hash.c";"hash_check_key";"1"
"5016";"crypto/async_tx/raid6test.c";"raid6_dual_recov";"1"
"5374";"crypto/cbc.c";"crypto_cbc_create";"1"
"1101";"crypto/cipher.c";"crypto_init_cipher_ops";"1"
"1102";"crypto/compress.c";"crypto_init_compress_ops";"1"
"1103";"crypto/cryptd.c";"cryptd_blkcipher_enqueue";"1"
"5373";"crypto/ctr.c";"crypto_ctr_alloc";"1"
"7434";"crypto/lrng_base.c";"add_interrupt_randomness";"1"
"9108";"crypto/lz4.c";"lz4_compress_crypto";"1"
"9109";"crypto/lz4.c";"lz4_decompress_crypto";"1"
"9110";"crypto/lz4hc.c";"lz4hc_compress_crypto";"1"
"9111";"crypto/lz4hc.c";"lz4hc_decompress_crypto";"1"
"8787";"crypto/memneq.c";"__crypto_memneq_16";"1"
"4630";"crypto/poly1305_generic.c";"poly1305_setrkey";"1"
"9359";"drivers/acpi/acpi_apd.c";"acpi_apd_create_device";"1"
"7536";"drivers/acpi/acpi_apd.c";"acpi_apd_setup";"1"
"7738";"drivers/acpi/acpi_memhotplug.c";"acpi_memory_remove_memory";"1"
"2338";"drivers/acpi/acpi_processor.c";"acpi_processor_init";"2"
"7692";"drivers/acpi/acpi_processor.c";"acpi_processor_remove";"1"
"4345";"drivers/acpi/acpi_processor.c";"acpi_set_hwp_native_thermal_lvt_osc";"1"
"6740";"drivers/acpi/acpica/tbxface.c";"acpi_get_table_header";"1"
"9864";"drivers/acpi/apei/ghes.c";"ghes_do_proc";"1"
"7935";"drivers/acpi/apei/ghes.c";"ghes_probe";"1"
"7936";"drivers/acpi/apei/ghes.c";"ghes_remove";"1"
"6381";"drivers/acpi/bus.c";"acpi_bus_osc_support";"1"
"2109";"drivers/acpi/bus.c";"acpi_init";"1"
"9863";"drivers/acpi/bus.c";"acpi_run_osc";"1"
"7530";"drivers/acpi/cppc_acpi.c";"cpc_read";"1"
"7531";"drivers/acpi/cppc_acpi.c";"cpc_write";"1"
"1212";"drivers/acpi/irqdomain.c";"acpi_irq_domain_ensure_probed";"1"
"1213";"drivers/acpi/irqdomain.c";"acpi_irq_domain_register_irq";"1"
"1214";"drivers/acpi/irqdomain.c";"acpi_irq_domain_unregister_irq";"1"
"2611";"drivers/acpi/nfit.c";"acpi_nfit_desc_init";"1"
"878";"drivers/acpi/nfit/core.c";"acpi_nfit_add_dimm";"1"
"879";"drivers/acpi/nfit/core.c";"acpi_nfit_ctl";"1"
"5114";"drivers/acpi/nfit/mce.c";"is_ars_required";"1"
"4176";"drivers/acpi/numa.c";"acpi_numa_slit_init";"1"
"4188";"drivers/acpi/pci_root.c";"pci_acpi_root_prepare_resources";"1"
"7710";"drivers/acpi/power.c";"acpi_power_expose_list";"3"
"7711";"drivers/acpi/power.c";"acpi_power_hide_list";"3"
"7740";"drivers/acpi/processor_driver.c";"acpi_processor_remove";"1"
"3275";"drivers/acpi/processor_idle.c";"obj_get_integer";"1"
"3596";"drivers/acpi/property.c";"acpi_get_next_subnode";"1"
"3443";"drivers/acpi/scan.c";"acpi_dma_configure";"2"
"4608";"drivers/acpi/sleep.c";"acpi_sleep_init";"1"
"5848";"drivers/acpi/sysfs.c";"acpi_table_show";"1"
"7401";"drivers/acpi/tables.c";"acpi_parse_entries_array";"1"
"6347";"drivers/acpi/thermal.c";"acpi_thermal_trips_update";"1"
"6074";"drivers/acpi/utils.c";"acpi_get_irq_type";"1"
"7254";"drivers/android/binder.c";"binder_ioctl";"1"
"9621";"drivers/android/binder.c";"binder_poll";"2"
"8650";"drivers/android/binder.c";"print_binder_proc";"1"
"8651";"drivers/android/binder.c";"print_binder_thread";"1"
"3037";"drivers/ata/ahci.c";"ahci_init_one";"1"
"3038";"drivers/ata/ahci.c";"ahci_remove_one";"1"
"4027";"drivers/ata/ahci.c";"msix_get_desc";"1"
"3039";"drivers/ata/ahci_ceva.c";"ceva_ahci_resume";"1"
"3502";"drivers/ata/ahci_qoriq.c";"ahci_qoriq_phy_init";"1"
"3040";"drivers/ata/ahci_qoriq.c";"ahci_qoriq_resume";"1"
"5970";"drivers/ata/libahci.c";"ahci_host_activate_multi_irqs";"1"
"3041";"drivers/ata/libahci.c";"ahci_rpm_get_port";"2"
"3042";"drivers/ata/libahci.c";"ahci_rpm_put_port";"2"
"3554";"drivers/base/arch_topology.c";"cpu_capacity_store";"1"
"1079";"drivers/base/boot_constraint.c";"constraint_supply_add";"1"
"6302";"drivers/base/bus.c";"bus_add_groups";"1"
"6303";"drivers/base/bus.c";"bus_remove_groups";"1"
"6304";"drivers/base/core.c";"device_add_groups";"1"
"6305";"drivers/base/core.c";"device_remove_groups";"1"
"8974";"drivers/base/dma-coherent.c";"dma_alloc_from_coherent";"1"
"3365";"drivers/base/dma-mapping.c";"dma_configure";"8"
"6306";"drivers/base/driver.c";"driver_add_groups";"1"
"6307";"drivers/base/driver.c";"driver_remove_groups";"1"
"6423";"drivers/base/memory.c";"dump_zonelist";"2"
"6421";"drivers/base/memory.c";"dump_zonelists";"1"
"3733";"drivers/base/platform-msi.c";"platform_msi_create_device_domain";"3"
"3734";"drivers/base/platform-msi.c";"platform_msi_domain_alloc";"3"
"3735";"drivers/base/platform-msi.c";"platform_msi_update_dom_ops";"3"
"7585";"drivers/base/power/cpu_domains.c";"of_get_cpu_domain";"1"
"7586";"drivers/base/power/cpu_domains.c";"of_init_cpu_pm_domain";"1"
"5180";"drivers/base/power/opp/core.c";"dev_pm_opp_get_max_transition_latency";"1"
"5179";"drivers/base/power/opp/core.c";"dev_pm_opp_get_max_volt_latency";"1"
"5198";"drivers/base/power/opp/core.c";"dev_pm_opp_remove_table";"1"
"1822";"drivers/base/power/opp/core.c";"dev_pm_opp_set_rate";"1"
"3562";"drivers/base/power/opp/cpu.c";"dev_pm_opp_free_cpufreq_table";"1"
"3563";"drivers/base/power/opp/cpu.c";"dev_pm_opp_init_cpufreq_table";"1"
"3115";"drivers/base/power/opp/cpu.c";"dev_pm_opp_set_sharing_cpus";"1"
"1343";"drivers/base/power/opp/of.c";"dev_pm_opp_of_add_table";"2"
"1344";"drivers/base/power/opp/of.c";"dev_pm_opp_of_cpumask_add_table";"2"
"1345";"drivers/base/power/opp/of.c";"dev_pm_opp_of_cpumask_remove_table";"2"
"1349";"drivers/base/power/opp/of.c";"dev_pm_opp_of_get_opp_desc_node";"1"
"1346";"drivers/base/power/opp/of.c";"dev_pm_opp_of_get_sharing_cpus";"3"
"1347";"drivers/base/power/opp/of.c";"dev_pm_opp_of_remove_table";"2"
"7404";"drivers/base/regmap/regmap-debugfs.c";"regmap_printable";"1"
"1666";"drivers/base/regmap/regmap-i2c.c";"regmap_i2c_gather_write";"1"
"1672";"drivers/base/regmap/regmap-i2c.c";"regmap_i2c_write";"1"
"1674";"drivers/base/regmap/regmap-i2c.c";"regmap_smbus_byte_reg_read";"1"
"1676";"drivers/base/regmap/regmap-i2c.c";"regmap_smbus_byte_reg_write";"1"
"1678";"drivers/base/regmap/regmap-i2c.c";"regmap_smbus_word_read_swapped";"1"
"1680";"drivers/base/regmap/regmap-i2c.c";"regmap_smbus_word_reg_read";"1"
"1682";"drivers/base/regmap/regmap-i2c.c";"regmap_smbus_word_reg_write";"1"
"1684";"drivers/base/regmap/regmap-i2c.c";"regmap_smbus_word_write_swapped";"1"
"8654";"drivers/bcma/driver_pcie2.c";"bcma_core_pcie2_up";"1"
"4349";"drivers/bcma/main.c";"bcma_of_fill_device";"1"
"2683";"drivers/block/cciss.c";"do_cciss_request";"1"
"2684";"drivers/block/cciss.c";"evaluate_target_status";"1"
"9329";"drivers/block/drbd/drbd_main.c";"drbd_init";"1"
"3647";"drivers/block/drbd/drbd_req.c";"remote_due_to_read_balancing";"1"
"6830";"drivers/block/loop.c";"loop_queue_rq";"1"
"91";"drivers/block/nanddisk/nand.c";"sirf_fdt_handle_rsv_mem";"4"
"92";"drivers/block/nanddisk/nand.c";"sirfsoc_nand_nosave_memblock";"3"
"8275";"drivers/block/nanddisk/nand.c";"sirfsoc_nand_probe";"2"
"93";"drivers/block/nanddisk/nand.c";"sirfsoc_nand_reserve_memblock";"3"
"2695";"drivers/block/nbd.c";"nbd_request_handler";"2"
"5946";"drivers/block/nbd.c";"nbd_thread_send";"1"
"6044";"drivers/block/null_blk.c";"null_lnvm_destroy_dma_pool";"1"
"6165";"drivers/block/null_blk.c";"null_lnvm_submit_io";"1"
"2511";"drivers/block/nvme-core.c";"nvme_dif_remap";"1"
"2512";"drivers/block/nvme-core.c";"nvme_init_integrity";"1"
"3946";"drivers/block/nvme-core.c";"nvme_map_user_pages";"1"
"2513";"drivers/block/nvme-core.c";"nvme_noop_generate";"1"
"3904";"drivers/block/nvme-core.c";"nvme_queue_rq";"1"
"2515";"drivers/block/nvme-core.c";"nvme_revalidate_disk";"1"
"3905";"drivers/block/nvme-core.c";"nvme_setup_prps";"1"
"3947";"drivers/block/nvme-core.c";"nvme_unmap_user_pages";"1"
"3948";"drivers/block/nvme-scsi.c";"nvme_trans_do_nvme_io";"1"
"3949";"drivers/block/nvme-scsi.c";"nvme_trans_send_fw_cmd";"1"
"3950";"drivers/block/nvme-scsi.c";"nvme_trans_standard_inquiry_page";"1"
"1546";"drivers/block/oracleasm/driver.c";"asm_close_disk";"1"
"1549";"drivers/block/oracleasm/driver.c";"asm_maybe_wait_io";"2"
"1551";"drivers/block/oracleasm/driver.c";"asm_submit_io";"3"
